Build Error Summary

s: talos-r3-leopard-007
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 725395 bytes during test execution
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 24 instances of nsWeakReference with size 16 bytes each (384 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 12 instances of nsXBLDocGlobalObject with size 28 bytes each (336 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 14 instances of nsXBLDocumentInfo with size 44 bytes each (616 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 22 instances of nsXBLEventHandler with size 16 bytes each (352 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 31 instances of nsXBLInsertionPointEntry with size 20 bytes each (620 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 7 instances of nsXBLKeyEventHandler with size 24 bytes each (168 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 14 instances of nsXBLParameter with size 8 bytes each (112 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 39 instances of nsXBLProtoImpl with size 32 bytes each (1248 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 31 instances of nsXBLProtoImplField with size 24 bytes each (744 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 90 instances of nsXBLProtoImplMethod with size 20 bytes each (1800 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 125 instances of nsXBLProtoImplProperty with size 28 bytes each (3500 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 74 instances of nsXBLPrototypeBinding with size 60 bytes each (4440 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 14 instances of nsXBLPrototypeResources with size 12 bytes each (168 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 2 instances of nsXBLResource with size 20 bytes each (40 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 14 instances of nsXBLResourceLoader with size 36 bytes each (504 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of nsXBLService with size 56 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 72 instances of nsXBLTextWithLineNumber with size 8 bytes each (576 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 24 instances of nsXBLUncompiledMethod with size 16 bytes each (384 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 14 instances of nsXMLDocument with size 672 bytes each (9408 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 133 instances of nsXMLElement with size 52 bytes each (6916 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 47 instances of nsXPCComponents with size 60 bytes each (2820 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 44 instances of nsXPCComponents_Classes with size 20 bytes each (880 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of nsXPCComponents_Constructor with size 20 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 42 instances of nsXPCComponents_ID with size 20 bytes each (840 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 44 instances of nsXPCComponents_Interfaces with size 28 bytes each (1232 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 29 instances of nsXPCComponents_Results with size 20 bytes each (580 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 37 instances of nsXPCComponents_Utils with size 24 bytes each (888 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 2 instances of nsXPCComponents_utils_Sandbox with size 16 bytes each (32 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of nsXPCWrappedJS with size 60 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of nsXPCWrappedJSClass with size 44 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of nsXPConnect with size 104 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of nsXTFService with size 44 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 147 instances of nsXULElement with size 60 bytes each (8820 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of nsXULFastLoadFileIO with size 28 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of nsXULPopupManager with size 68 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 391 instances of nsXULPrototypeAttribute with size 12 bytes each (4692 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of nsXULPrototypeCache with size 176 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 147 instances of nsXULPrototypeElement with size 32 bytes each (4704 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 3 instances of nsZipArchive with size 1060 bytes each (3180 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 6 instances of nsZipHandle with size 16 bytes each (96 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of nsZipReaderCache with size 76 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of xpcPerThreadData with size 48 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of xptiFile with size 32 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 57 instances of xptiInterfaceInfo with size 20 bytes each (1140 bytes total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of xptiInterfaceInfoManager with size 100 bytes
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of xptiWorkingSet with size 52 bytes
